City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Lloydminster,CA,74.88,few clouds,53.2835,-110.0016,BCMInns - Lloydminster
624,Salinopolis,BR,77.65,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
626,Porto Torres,IT,71.78,clear sky,40.835,8.3972,Hotel Elisa
633,Marawi,PH,70.65,broken clouds,7.9986,124.2928,Derogongan Residence
634,Sindou,BF,73.89,light rain,10.6667,-5.1667,LERABA HOTEL
636,Sokoni,TZ,76.73,clear sky,-6.4333,39.55,Ujamaa Beach Resort
640,Kandi,BJ,73.08,light rain,11.1342,2.9386,Baric Motel De Kandi
641,Mitsamiouli,KM,77.11,few clouds,-11.3847,43.2844,Foyer ADM
646,Tambun,ID,79.47,mist,-6.2641,107.0712,@HOM Premiere Tambun
651,Palmer,US,77.41,broken clouds,42.1584,-72.3287,Wedgewood Motel
655,Parry Sound,CA,77.86,clear sky,45.3501,-80.033,Bayside Inn
657,Barberino Di Mugello,IT,74.55,overcast clouds,44.0027,11.2371,Hotel Il Cavallo
661,Kapit,MY,74.52,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
665,Cheyenne,US,78.94,scattered clouds,41.14,-104.8203,The Historic Plains Hotel & Restaurant
669,Belleville,CA,76.51,few clouds,44.1788,-77.3705,Ramada by Wyndham Belleville Harbourview Conference Centre
675,Hay River,CA,71.58,light rain,60.8156,-115.7999,Ptarmigan Inn
679,Wakkanai,JP,70.88,broken clouds,45.4094,141.6739,Hyōsetsu-sō
682,Santa Cruz De Tenerife,ES,75.42,fog,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
684,Aktau,KZ,77.58,clear sky,43.65,51.2,Silk Way Hotel
689,Dauphin,CA,78.94,clear sky,51.1494,-100.0502,Canway Inn & Suites
692,La Tour-De-Peilz,CH,75.7,broken clouds,46.4531,6.8586,Hôtel Villa Toscane
694,Curaca,BR,76.57,scattered clouds,-8.9903,-39.9094,Hotel Recanto Campestre
697,Kapustin Yar,RU,73.85,overcast clouds,48.5831,45.7372,"Gostinitsa ""Znamensk"""
