City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Broome,US,42.2506,-75.833,76.69,60,1,4.0,clear sky
106,Castro,BR,-24.7911,-50.0119,53.06,80,0,2.82,clear sky
107,Namibe,AO,-15.1961,12.1522,64.81,89,10,4.09,clear sky
108,Constitucion,CL,-35.3333,-72.4167,53.47,81,94,5.59,overcast clouds
109,Port Hedland,AU,-20.3167,118.5667,60.85,48,3,8.05,clear sky
110,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,3.44,scattered clouds
111,Devils Lake,US,48.1128,-98.8651,89.58,48,1,8.99,clear sky
112,Karratha,AU,-20.7377,116.8463,67.91,41,8,11.21,clear sky
113,Bethel,US,41.3712,-73.414,80.91,62,1,4.61,clear sky
114,Senneterre,CA,48.3835,-77.2328,73.62,67,95,3.38,overcast clouds
115,Imeni Poliny Osipenko,RU,52.4201,136.4853,79.27,80,55,6.6,broken clouds
116,Hilo,US,19.7297,-155.09,91.27,81,90,6.91,moderate rain
117,Puerto Carreno,CO,6.189,-67.4859,77.54,88,91,4.5,overcast clouds
118,Hambantota,LK,6.1241,81.1185,79.56,78,98,16.62,overcast clouds
119,Severo-Kurilsk,RU,50.6789,156.125,56.34,90,90,6.93,overcast clouds
120,Saskylakh,RU,71.9167,114.0833,55.08,75,98,16.49,overcast clouds
121,Albany,US,42.6001,-73.9662,75.45,62,45,6.08,scattered clouds
122,Provideniya,RU,64.3833,-173.3,54.37,62,65,7.38,broken clouds
123,Byron Bay,AU,-28.65,153.6167,65.05,79,11,7.9,few clouds
124,Makakilo City,US,21.3469,-158.0858,84.52,61,90,13.8,overcast clouds
125,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,8.05,broken clouds
126,Jamestown,US,42.097,-79.2353,76.59,55,1,1.99,clear sky
127,La Serena,CL,-29.9078,-71.2542,54.91,71,75,4.61,broken clouds
128,Mahebourg,MU,-20.4081,57.7,68.29,83,40,3.44,scattered clouds
129,Beloha,MG,-25.1667,45.05,63.12,65,64,9.44,broken clouds
130,Ca Mau,VN,9.1769,105.15,77.36,90,90,5.17,overcast clouds
131,Kodiak,US,57.79,-152.4072,54.91,88,90,6.91,moderate rain
132,Batagay,RU,67.6333,134.6333,69.78,41,100,1.99,overcast clouds
133,Richards Bay,ZA,-28.783,32.0377,57.34,63,81,14.34,light rain
134,Fortuna,US,40.5982,-124.1573,98.19,64,20,1.01,few clouds
135,Fort Nelson,CA,58.8053,-122.7002,71.19,43,75,8.05,broken clouds
136,Vao,NC,-22.6667,167.4833,71.04,78,10,7.63,clear sky
137,Dondo,MZ,-19.6094,34.7431,69.31,76,70,10.42,light rain
138,Karibib,NA,-21.9333,15.8333,52.25,9,0,13.73,clear sky
139,Dakar,SN,14.6937,-17.4441,78.93,65,75,4.61,broken clouds
140,Nautla,MX,20.2167,-96.7833,85.91,64,2,16.06,clear sky
