City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Plettenberg Bay,ZA,2021-07-23 16:23:26,-34.0527,23.3716,51.62,75,19,8.3
156,Benghazi,LY,2021-07-23 16:27:18,32.1167,20.0667,82.22,61,0,18.59
157,Poso,ID,2021-07-23 16:27:19,-1.3959,120.7524,76.8,88,83,2.98
158,Kendari,ID,2021-07-23 16:27:19,-3.945,122.4989,73.29,89,98,2.42
159,Koster,ZA,2021-07-23 16:27:19,-25.863,26.8976,39.63,20,0,4.88
160,Chimore,BO,2021-07-23 16:27:19,-16.9833,-65.1333,88.11,33,0,4.61
161,Tuktoyaktuk,CA,2021-07-23 16:20:09,69.4541,-133.0374,51.8,76,75,6.91
162,Sinnar,SD,2021-07-23 16:27:20,13.5691,33.5672,92.44,42,78,7.78
163,Manadhoo,MV,2021-07-23 16:27:20,5.7667,73.3833,82.87,77,69,13.31
164,Poum,NC,2021-07-23 16:21:27,-20.2333,164.0167,71.51,81,99,9.17
165,Borogontsy,RU,2021-07-23 16:27:20,62.6683,131.1683,66.15,69,100,2.68
166,Lompoc,US,2021-07-23 16:23:18,34.6391,-120.4579,71.56,86,90,3.44
167,Yar-Sale,RU,2021-07-23 16:20:32,66.8333,70.8333,54.43,97,94,17.85
168,Hervey Bay,AU,2021-07-23 16:22:26,-25.2986,152.8535,70.03,83,36,21.3
169,Preobrazheniye,RU,2021-07-23 16:27:21,42.9019,133.9064,73.99,93,98,4.47
170,Valparaiso,CL,2021-07-23 16:27:21,-33.0393,-71.6273,51.44,94,90,6.91
171,Nanortalik,GL,2021-07-23 16:19:49,60.1432,-45.2371,43.47,84,58,15.01
172,Hamilton,US,2021-07-23 16:20:28,39.1834,-84.5333,82.0,60,1,3.0
173,Gamba,GA,2021-07-23 16:25:04,-2.65,10.0,73.9,73,77,9.53
174,Sechura,PE,2021-07-23 16:25:01,-5.5569,-80.8222,72.9,63,53,8.37
175,Farah,AF,2021-07-23 16:27:22,32.5,62.5,93.47,10,1,1.97
176,Mount Isa,AU,2021-07-23 16:24:22,-20.7333,139.5,55.17,47,3,0.0
